,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,0,PF,1561616245,82,-23.12,-134.97,74.21,12.19
1,Hermanus,22,ZA,1561616245,98,-34.42,19.24,55.99,10.65
2,Kodiak,1,US,1561616246,60,39.95,-94.76,77.0,8.05
3,Black River,20,JM,1561616246,78,18.03,-77.85,82.4,9.17
4,Marzuq,92,YE,1561616246,14,14.4,46.47,90.59,7.81
5,Alexandria,0,RO,1561616041,56,43.97,25.33,82.99,1.99
6,Pierre,1,US,1561616080,73,44.37,-100.35,75.0,6.93
7,Mataura,17,NZ,1561616247,86,-46.19,168.86,51.01,5.01
8,Pleasanton,20,US,1561616070,82,37.66,-121.87,62.01,12.75
9,Hilo,90,US,1561616248,74,19.71,-155.08,80.6,9.17
10,Busselton,41,AU,1561616248,47,-33.64,115.35,57.0,28.48
11,Dikson,84,RU,1561616248,96,73.51,80.55,34.07,13.62
12,Upernavik,12,GL,1561616248,90,72.79,-56.15,32.81,9.66
13,Lebu,61,ET,1561616249,68,8.96,38.73,63.77,2.28
14,Paamiut,100,GL,1561616249,100,61.99,-49.67,40.19,6.96
15,Caravelas,6,BR,1561616249,87,-17.73,-39.27,71.87,4.23
16,Skibbereen,0,IE,1561616250,82,51.55,-9.27,59.0,20.8
17,Albany,20,US,1561616121,93,42.65,-73.75,66.99,4.27
18,Tura,73,RU,1561615977,37,64.27,100.22,81.05,5.19
19,Punta Arenas,75,CL,1561616250,68,-53.16,-70.91,30.2,13.87
20,Ushuaia,75,AR,1561616129,100,-54.81,-68.31,28.4,24.16
21,Khatanga,22,RU,1561616031,28,71.98,102.47,60.35,4.81
22,Mikhaylovskoye,40,RU,1561616251,88,43.1,44.64,71.01,4.0
23,Hami,0,CN,1561616251,14,42.84,93.51,80.87,2.84
24,Yellowknife,75,CA,1561616060,81,62.45,-114.38,50.0,14.99
25,San Vicente,75,SV,1561616253,94,13.64,-88.78,77.0,3.36
26,Klaksvik,90,FO,1561616253,100,62.23,-6.59,50.0,10.29
27,Harper,1,US,1561616253,88,30.3,-99.24,73.99,10.02
28,Saint George,20,GR,1561616131,51,39.45,22.34,84.2,9.17
29,Chuy,2,UY,1561616254,80,-33.69,-53.46,43.25,9.15
30,Airai,50,TL,1561616255,46,-8.93,125.41,81.41,4.81
